No.,Country,"Agency Name","Code (Num)","Code (Alpha)",Products,"Accepted
Date",Status,Official
1,-,"International Centre for ENC (IC-ENC)",02030,00IC,"S-101, S-102, S-104, S-111, S-128",2023-02-10,Valid,False
2,"Viet Nam","Vietnam Maritime Safety Corporation (VMSC)",01511,V184,"S-101, S-102, S-104, S-111, S-128, S-129",2023-02-24,Valid,True
3,-,"International Hydrographic Organization (IHO)",01810,00AA,"S-101, S-102, S-104, S-111, S-121, S-122, S-123, S-124, S-127, S-128, S-129, S-130, S-131, S-98",2023-02-28,Valid,False
4,Canada,"Canadian Coast Guard",00052,CA01,"S-123, S-124, S-127, S-129",2023-03-15,Valid,True
5,Belgium,"Maritime and Coastal Services – Flemish Hydrography",00030,BE00,"S-101, S-102, S-104, S-111, S-401",2023-03-29,Valid,True
6,Norway,"Electronic Chart Centre",00341,N100,"S-101, S-102, S-104, S-111, S-128",2023-05-11,Valid,True
7,Netherlands,"Koninklijke Marine Dienst der Hydrografie / CZSK",00310,NL00,"S-101, S-102, S-104, S-111, S-121, S-122, S-123, S-127, S-128",2023-05-12,Valid,True
8,Finland,"Finnish Transport and Communications Agency (Traficom)",00160,FI00,"S-101, S-102, S-121, S-123, S-124, S-127, S-128",2023-06-21,Valid,True
9,Canada,"Canadian Hydrographic Service (CHS)",00050,CA00,"S-101, S-102, S-104, S-111, S-121, S-128",2023-06-21,Valid,True
10,-,"Environmental Systems Research Institute (ESRI)",20046,004E,"S-101, S-102, S-104, S-111, S-121, S-122, S-123, S-124, S-127, S-128, S-129, S-401, S-412",2023-07-01,Valid,False
11,-,CARIS,07196,001C,"S-101, S-102, S-104, S-111, S-121, S-122, S-123, S-124, S-127, S-128, S-129, S-401, S-412",2023-07-05,Valid,False
12,Spain,"Instituto Hidrográfico de la Marina (IHM)",00450,ES00,"S-101, S-102, S-104, S-111",2023-07-06,Valid,True
13,-,"PRIMAR Regional ENC Coordinating Centre (PRIMAR RENC)",02020,00PM,"S-101, S-102, S-104, S-111, S-121, S-122, S-123, S-124, S-127, S-128, S-129, S-401, S-412",2023-08-07,Valid,False
14,France,"Service Hydrographique et Océanographique de la Marine (SHOM)",00170,FR00,"S-101, S-102, S-104, S-111, S-121, S-122, S-123, S-124, S-127, S-128, S-129, S-412",2023-08-21,Valid,True
15,France,"Commandant de la zone maritime Manche et mer du Nord (zone NAVAREA I)",00171,FR01,S-124,2023-08-22,Valid,True
16,France,"Commandant de la zone maritime Atlantique (zones NAVAREA I et II)",00172,FR02,S-124,2023-08-22,Valid,True
17,France,"Commandant de la zone maritime Méditerranée (zone NAVAREA III)",00173,FR03,S-124,2023-08-22,Valid,True
18,France,"Commandant de la zone maritime Antilles (zone NAVAREA IV)",00174,FR04,S-124,2023-08-22,Valid,True
19,France,"Commandant de la zone maritime Guyane (zone NAVAREA IV)",00175,FR05,S-124,2023-08-22,Valid,True
20,France,"Commandant de la zone maritime sud de l’océan Indien (zones NAVAREA VII et VIII)",00176,FR06,S-124,2023-08-22,Valid,True
21,France,"Commandant de la zone maritime Nouvelle-Calédonie (zones NAVAREA X et XIV)",00177,FR07,S-124,2023-08-22,Valid,True
22,France,"Commandant de la zone maritime du Pacifique (zone NAVAREA XII)",00178,FR08,S-124,2023-08-22,Valid,True
23,France,"Commandant de la zone maritime Polynésie française (zones NAVAREA XII et XIV)",00179,FR09,S-124,2023-08-22,Valid,True
24,France,"Chef du service affaires maritimes de la direction des territoires, de l’alimentation et de la mer (DTAM) de Saint-Pierre et Miquelon (zone NAVAREA IV)",02180,FR10,S-124,2023-08-22,Valid,True
25,Sweden,"Sjöfartsverket, Swedish Maritime Administration",00480,SE00,"S-101, S-102, S-104, S-111, S-123, S-124, S-127, S-128",2023-08-28,Valid,True
26,"United Kingdom of Great Britain and Northern Ireland","UK Hydrographic Office",00540,GB00,"S-101, S-102, S-104, S-111, S-121, S-124, S-128",2023-09-14,Valid,True
27,Australia,"Australian Hydrographic Office (AHO)",00010,AU00,"S-101, S-102, S-101, S-102, S-104, S-111, S-128",2023-09-18,Valid,True
28,Australia,"Australian Hydrographic Office - Defence forces",00011,AN00,"S-101, S-102",2023-09-18,Valid,True
29,Australia,"Maritime Geospatial Branch (MGB)",01513,A100,"S-101, S-102, S-104, S-111, S-128",2023-09-18,Valid,True
